FundingType,Department,Building,Location,Weekday,StartTime,EndTime,Link
Scholarship Universe,Office of Financial Aid and Scholarships,Administration Building,"5200 N. Lake Road
Merced, CA 95343","Monday, Tuesday, Wednesday, Thursday",9:00 AM,12:00 PM,https://financialaid.ucmerced.edu/UCM-Scholarship-Universe
Scholarship Universe,Office of Financial Aid and Scholarships,Administration Building,"5200 N. Lake Road
Merced, CA 95343","Monday, Tuesday, Wednesday, Thursday",1:00 PM,4:00 PM,https://financialaid.ucmerced.edu/UCM-Scholarship-Universe
